,Year,CO2 (ppm),CH4 (ppb),N2O (ppb),CF4 (ppt),C2F6 (ppt),C6F14 (ppt),HFC23 (ppt),HFC32 (ppt),HFC43-10 (ppt),HFC125 (ppt),HFC134a (ppt),HFC143a (ppt),HFC227ea (ppt),HFC245fa (ppt),SF6 (ppt),CFC11 (ppt),CFC12 (ppt),CFC113 (ppt),CFC114 (ppt),CFC115 (ppt),CCl4 (ppt),Methyl chloroform (ppt),HCFC22 (ppt),HCFC141b (ppt),HCFC142b (ppt),Halon 1211 (ppt),Halon 1202 (ppt),Halon 1301 (ppt),Halon 2401 (ppt),CH3Br (ppt),CH3Cl (ppt)
16,1781.0,279.1449992,747.7660472,274.6470464,34.04999924,0.0,0.0,0.0,4.32e-05,0.0,0.0,0.0,0.0,7.81e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
17,1782.0,279.2430013,748.2900187,274.6540476,34.04999924,0.0,0.0,0.0,4.57e-05,0.0,0.0,0.0,0.0,8.27e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
18,1783.0,279.3399989,748.6270294,274.6580505,34.04999924,0.0,0.0,0.0,4.82e-05,0.0,0.0,0.0,0.0,8.73e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
19,1784.0,279.4340007,748.9340261,274.6640549,34.04999924,0.0,0.0,0.0,5.08e-05,0.0,0.0,0.0,0.0,9.19e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
20,1785.0,279.5320028,749.2520396,274.6690496,34.04999924,0.0,0.0,0.0,5.33e-05,0.0,0.0,0.0,0.0,9.65e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
21,1786.0,279.6290003,749.5639801,274.6760534,34.04999924,0.0,0.0,0.0,5.59e-05,0.0,0.0,0.0,0.0,1.01e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
22,1787.0,279.7290014,749.6690826,274.6780472,34.04999924,0.0,0.0,0.0,5.84e-05,0.0,0.0,0.0,0.0,1.06e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
23,1788.0,279.8309987,750.1610209,274.6770477,34.04999924,0.0,0.0,0.0,6.09e-05,0.0,0.0,0.0,0.0,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
24,1789.0,279.9329987,750.647049,274.6780523,34.04999924,0.0,0.0,0.0,6.35e-05,0.0,0.0,0.0,0.0,1.15e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
25,1790.0,280.0370026,751.1640371,274.6770528,34.04999924,0.0,0.0,0.0,6.6e-05,0.0,0.0,0.0,0.0,1.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
26,1791.0,280.1409988,751.7080536,274.6740468,34.04999924,0.0,0.0,0.0,6.86e-05,0.0,0.0,0.0,0.0,1.24e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
27,1792.0,280.2409973,752.2780151,274.6740468,34.04999924,0.0,0.0,0.0,7.11e-05,0.0,0.0,0.0,0.0,1.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
28,1793.0,280.3319982,752.6820679,274.6590525,34.04999924,0.0,0.0,0.0,7.36e-05,0.0,0.0,0.0,0.0,1.33e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
29,1794.0,280.4150009,753.2520447,274.648056,34.04999924,0.0,0.0,0.0,7.62e-05,0.0,0.0,0.0,0.0,1.38e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
30,1795.0,280.4919968,753.8410645,274.6310527,34.04999924,0.0,0.0,0.0,7.87e-05,0.0,0.0,0.0,0.0,1.42e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
31,1796.0,280.5549952,754.5180511,274.6150538,34.04999924,0.0,0.0,0.0,8.13e-05,0.0,0.0,0.0,0.0,1.47e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
32,1797.0,280.6230011,755.256073,274.6010539,34.04999924,0.0,0.0,0.0,8.38e-05,0.0,0.0,0.0,0.0,1.52e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
33,1798.0,280.6820043,756.1130473,274.584053,34.04999924,0.0,0.0,0.0,8.63e-05,0.0,0.0,0.0,0.0,1.56e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
34,1799.0,280.7529984,756.9420471,274.570048,34.04999924,0.0,0.0,0.0,8.89e-05,0.0,0.0,0.0,0.0,1.61e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
35,1800.0,280.8339971,757.7620494,274.5470505,34.04999924,0.0,0.0,0.0,9.14e-05,0.0,0.0,0.0,0.0,1.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
36,1801.0,280.9189987,758.5840607,274.5320511,34.04999924,0.0,0.0,0.0,9.4e-05,0.0,0.0,0.0,0.0,1.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
37,1802.0,280.9939957,759.5070699,274.5230509,34.04999924,0.0,0.0,0.0,9.65e-05,0.0,0.0,0.0,0.0,1.75e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
38,1803.0,281.0729955,760.5080465,274.5050507,34.04999924,0.0,0.0,0.0,9.9e-05,0.0,0.0,0.0,0.0,1.79e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
39,1804.0,281.1569977,761.5410817,274.4860484,34.04999924,0.0,0.0,0.0,0.000101576,0.0,0.0,0.0,0.0,1.84e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
40,1805.0,281.2339961,762.6710561,274.4660467,34.04999924,0.0,0.0,0.0,0.000104116,0.0,0.0,0.0,0.0,1.88e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
41,1806.0,281.3220011,763.7990774,274.447052,34.04999924,0.0,0.0,0.0,0.000106655,0.0,0.0,0.0,0.0,1.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
42,1807.0,281.4090017,765.0220795,274.4280472,34.04999924,0.0,0.0,0.0,0.000109194,0.0,0.0,0.0,0.0,1.98e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
43,1808.0,281.4959997,766.3190816,274.4110514,34.04999924,0.0,0.0,0.0,0.000111734,0.0,0.0,0.0,0.0,2.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
44,1809.0,281.5659968,767.6550802,274.3830541,34.04999924,0.0,0.0,0.0,0.000114273,0.0,0.0,0.0,0.0,2.07e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
45,1810.0,281.6480026,769.1471151,274.3600464,34.04999924,0.0,0.0,0.0,0.000116813,0.0,0.0,0.0,0.0,2.11e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
46,1811.0,281.7179972,770.718043,274.334048,34.04999924,0.0,0.0,0.0,0.000119352,0.0,0.0,0.0,0.0,2.16e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
47,1812.0,281.7899984,772.2101186,274.3040517,34.04999924,0.0,0.0,0.0,0.000121891,0.0,0.0,0.0,0.0,2.21e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
48,1813.0,281.8580017,773.7009939,274.2670517,34.04999924,0.0,0.0,0.0,0.000124431,0.0,0.0,0.0,0.0,2.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
49,1814.0,281.9310048,774.8281352,274.2310486,34.04999924,0.0,0.0,0.0,0.00012697,0.0,0.0,0.0,0.0,2.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
50,1815.0,281.9919968,776.1400197,274.1810506,34.04999924,0.0,0.0,0.0,0.00012951,0.0,0.0,0.0,0.0,2.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
51,1816.0,282.0590007,777.3801575,274.1430511,34.04999924,0.0,0.0,0.0,0.000132049,0.0,0.0,0.0,0.0,2.39e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
52,1817.0,282.1270014,778.9910329,274.1070557,34.04999924,0.0,0.0,0.0,0.000134589,0.0,0.0,0.0,0.0,2.44e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
53,1818.0,282.1999995,780.3030497,274.07105,34.04999924,0.0,0.0,0.0,0.000137128,0.0,0.0,0.0,0.0,2.48e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
54,1819.0,282.2720057,781.4260508,274.0500488,34.04999924,0.0,0.0,0.0,0.000139667,0.0,0.0,0.0,0.0,2.53e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
55,1820.0,282.3460007,782.4270782,274.0070496,34.04999924,0.0,0.0,0.0,0.000142207,0.0,0.0,0.0,0.0,2.57e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
56,1821.0,282.4150035,783.5681305,273.9700495,34.04999924,0.0,0.0,0.0,0.000144746,0.0,0.0,0.0,0.0,2.62e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
57,1822.0,282.4769999,784.9560547,273.9330521,34.04999924,0.0,0.0,0.0,0.000147286,0.0,0.0,0.0,0.0,2.67e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
58,1823.0,282.5400009,786.2210744,273.89505,34.04999924,0.0,0.0,0.0,0.000149825,0.0,0.0,0.0,0.0,2.71e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
59,1824.0,282.6179962,787.4750722,273.8470484,34.04999924,0.0,0.0,0.0,0.000152364,0.0,0.0,0.0,0.0,2.76e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
60,1825.0,282.676,788.7140605,273.7860463,34.04999924,0.0,0.0,0.0,0.000154904,0.0,0.0,0.0,0.0,2.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
61,1826.0,282.6929983,789.8310445,273.7280502,34.04999924,0.0,0.0,0.0,0.000157443,0.0,0.0,0.0,0.0,2.85e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
62,1827.0,282.6929957,790.8700918,273.6770554,34.04999924,0.0,0.0,0.0,0.000159983,0.0,0.0,0.0,0.0,2.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
63,1828.0,282.7080027,791.9830424,273.6410522,34.04999924,0.0,0.0,0.0,0.000162522,0.0,0.0,0.0,0.0,2.94e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
64,1829.0,282.7609965,793.0000712,273.6020533,34.04999924,0.0,0.0,0.0,0.000165061,0.0,0.0,0.0,0.0,2.99e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
65,1830.0,282.8249995,793.9600271,273.5640513,34.04999924,0.0,0.0,0.0,0.000167601,0.0,0.0,0.0,0.0,3.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
66,1831.0,282.8909963,794.8100739,273.52005,34.04999924,0.0,0.0,0.0,0.00017014,0.0,0.0,0.0,0.0,3.08e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
67,1832.0,282.9219971,795.5789846,273.4440486,34.04999924,0.0,0.0,0.0,0.00017268,0.0,0.0,0.0,0.0,3.13e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
68,1833.0,282.9659983,796.124115,273.37205,34.04999924,0.0,0.0,0.0,0.000175219,0.0,0.0,0.0,0.0,3.17e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
69,1834.0,283.0279999,797.0440369,273.2140503,34.04999924,0.0,0.0,0.0,0.000177758,0.0,0.0,0.0,0.0,3.22e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
70,1835.0,283.0859985,797.8309682,273.0790507,34.04999924,0.0,0.0,0.0,0.000180298,0.0,0.0,0.0,0.0,3.26e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
71,1836.0,283.1489995,798.106013,272.9540532,34.04999924,0.0,0.0,0.0,0.000182837,0.0,0.0,0.0,0.0,3.31e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
72,1837.0,283.1980006,798.1159821,272.8730545,34.04999924,0.0,0.0,0.0,0.000185377,0.0,0.0,0.0,0.0,3.36e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
73,1838.0,283.2530034,797.9370168,272.8660507,34.04999924,0.0,0.0,0.0,0.000187916,0.0,0.0,0.0,0.0,3.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
74,1839.0,283.3109996,797.9220988,272.85805,34.04999924,0.0,0.0,0.0,0.000190455,0.0,0.0,0.0,0.0,3.45e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
75,1840.0,283.3820012,798.3870494,272.7990519,34.04999924,0.0,0.0,0.0,0.000192995,0.0,0.0,0.0,0.0,3.49e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
76,1841.0,283.4669978,799.060084,272.6890488,34.04999924,0.0,0.0,0.0,0.000195534,0.0,0.0,0.0,0.0,3.54e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
77,1842.0,283.5279999,800.001119,272.5820541,34.04999924,0.0,0.0,0.0,0.000198074,0.0,0.0,0.0,0.0,3.59e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
78,1843.0,283.5660019,801.4921824,272.607048,34.04999924,0.0,0.0,0.0,0.000200613,0.0,0.0,0.0,0.0,3.63e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
79,1844.0,283.6089986,803.6190745,272.6480535,34.04999924,0.0,0.0,0.0,0.000203152,0.0,0.0,0.0,0.0,3.68e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
80,1845.0,283.7249959,805.6650696,272.6400503,34.04999924,0.0,0.0,0.0,0.000205692,0.0,0.0,0.0,0.0,3.72e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
81,1846.0,283.8470001,807.255956,272.7300466,34.04999924,0.0,0.0,0.0,0.000208231,0.0,0.0,0.0,0.0,3.77e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
82,1847.0,283.9359996,807.9369812,272.8130519,34.04999924,0.0,0.0,0.0,0.000210771,0.0,0.0,0.0,0.0,3.82e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
83,1848.0,284.0679983,808.092041,272.8850479,34.04999924,0.0,0.0,0.0,0.00021331,0.0,0.0,0.0,0.0,3.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
84,1849.0,284.2069982,808.2150014,272.9540456,34.04999924,0.0,0.0,0.0,0.000215849,0.0,0.0,0.0,0.0,3.91e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000429,0.0,0.0,0.0,0.0,0.004446573,0.0,0.0,0.0,5.299997807,457.0000025
