,Year,CO2-fossil (GtC/yr),CO2-landuse (GtC/yr),CH4 (Mt/yr),N2O (MtN2/yr),SOx (MtS/yr),CO (Mt/yr),NMVOC (Mt/yr),NOx (MtN/yr),BC (Mt/yr),OC (Mt/yr),NH3 (Mt/yr),CF4 (kt/yr),C2F6 (kt/yr),C6F14 (kt/yr),HFC23 (kt/yr),HFC32 (kt/yr),HFC43-10 (kt/yr),HFC125 (kt/yr),HFC134a (kt/yr),HFC143a (kt/yr),HFC227ea (kt/yr),HFC245fa (kt/yr),SF6 (kt/yr),CFC11 (kt/yr),CFC12 (kt/yr),CFC113 (kt/yr),CFC114 (kt/yr),CFC115 (kt/yr),CCl4 (kt/yr),Methyl chloroform (kt/yr),HCFC22 (kt/yr),HCFC141b (kt/yr),HCFC142b (kt/yr),Halon 1211 (kt/yr),Halon 1202 (kt/yr),Halon 1301 (kt/yr),Halon 2401 (kt/yr),CH3Br (kt/yr),CH3Cl (kt/yr)
10,1775.0,0.003773344139275165,0.1280430462500341,22.20096329,0.13734653330000002,1.249903891671011,355.0471729,60.54083046,3.9181467539918486,2.148996597,15.5891357,7.26964482,0.010071225,0.0,0.0,0.0,7.09e-05,0.0,0.0,0.0,0.0,1.75e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.05246,4273.8905
11,1776.0,0.004161708793994547,0.1303986695026812,22.14194213,0.1399413202,1.2345681049719819,348.8985525,59.3811448,3.7775258034761716,2.112143132,15.37007702,7.261469977,0.010071225,0.0,0.0,0.0,7.49e-05,0.0,0.0,0.0,0.0,1.78e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.03944,4273.2061
12,1777.0,0.004162821878938877,0.13279762945266987,22.56871006,0.1425851285,1.2619361950833514,357.545361,60.89349007,3.9380254658547997,2.170244784,15.67345753,7.355973763,0.010071225,0.0,0.0,0.0,7.9e-05,0.0,0.0,0.0,0.0,1.82e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.05273,4273.9048
13,1778.0,0.004163934966612133,0.1352407233555101,22.85608093,0.1452788843,1.2815619360403332,362.7554135,61.78348695,4.0211219889701235,2.198001402,15.89945625,7.434606067,0.010071225,0.0,0.0,0.0,8.3e-05,0.0,0.0,0.0,0.0,1.85e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.04465,4273.48
14,1779.0,0.004165048051556464,0.13772876314832994,22.82063569,0.1480235312,1.2531067910777165,355.9261715,60.50081488,3.865688446663986,2.159615777,15.62745786,7.418773457,0.010071225,0.0,0.0,0.0,8.71e-05,0.0,0.0,0.0,0.0,1.89e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.03691,4273.0734
15,1780.0,0.004167169605366962,0.1402625756954783,23.24616665,0.1508200307,1.2740835433072923,361.6140422,61.61859566,3.8711912677876996,2.189267588,16.0183808,7.569429121,0.010071225,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,0.0,1.92e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.98817,4270.511
16,1781.0,0.004659412906239492,0.14284300311599638,23.24965548,0.15366936250000002,1.276820552768473,360.0900539,61.19330647,3.9207677823332863,2.1894412,15.80695227,7.505783353,0.010071225,0.0,0.0,0.0,9.52e-05,0.0,0.0,0.0,0.0,1.96e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.04236,4273.3596
17,1782.0,0.004660532469652352,0.14547090294735288,23.34175812,0.15657252449999998,1.26034441202705,356.0465546,60.48572145,3.793880625628588,2.160522701,15.71282083,7.519625788,0.010071225,0.0,0.0,0.0,9.92e-05,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.03125,4272.7759
18,1783.0,0.004662660504660305,0.14814714858207229,23.37991679,0.1595305339,1.2579860734691568,354.2869243,60.10171272,3.788780558592147,2.15072559,15.60726047,7.496232273,0.010071225,0.0,0.0,0.0,0.000103294,0.0,0.0,0.0,0.0,2.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.0436,4273.4248
19,1784.0,0.004663780068073166,0.15087262943147012,23.2940423,0.1625444267,1.240396102155043,350.5694963,59.21225989,3.835403251900469,2.140542212,15.22814126,7.3811564,0.010071225,0.0,0.0,0.0,0.000107369,0.0,0.0,0.0,0.0,2.07e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.05531,4274.0405
20,1785.0,0.004666993145589639,0.1536482512531243,23.80210554,0.16561525889999998,1.2658585950320762,356.8051254,60.49447936,3.8216919422445366,2.165839691,15.73271148,7.538152323,0.010071225,0.0,0.0,0.0,0.000111374,0.0,0.0,0.0,0.0,2.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.02817,4272.6136
21,1786.0,0.005295379571472392,0.15647493656021355,23.831995,0.1687441059,1.263197839670418,354.2058773,59.91468241,3.8263590165169385,2.158683485,15.46715712,7.491084254,0.010071225,0.0,0.0,0.0,0.000115425,0.0,0.0,0.0,0.0,2.14e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.02684,4272.5442
22,1787.0,0.005297507606480346,0.1593536247033856,24.17652818,0.171932064,1.280613593620329,358.7933683,60.75335708,3.885151455880232,2.185179294,15.71033146,7.55517197,0.010071225,0.0,0.0,0.0,0.000119493,0.0,0.0,0.0,0.0,2.18e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.03415,4272.9283
23,1788.0,0.005298627169893206,0.16228527244383092,24.85592892,0.1751802499,1.3253378301949552,371.3570923,63.12433047,4.038564529694342,2.255223484,16.34335434,7.730934741,0.010071225,0.0,0.0,0.0,0.000123457,0.0,0.0,0.0,0.0,2.21e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.9922,4270.7227
24,1789.0,0.005300755202172234,0.1652708540351511,24.71707284,0.1784898013,1.3002062475573628,363.4416446,61.63229238,3.9111351745170904,2.207664632,16.00040861,7.663516243,0.010071225,0.0,0.0,0.0,0.000127579,0.0,0.0,0.0,0.0,2.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.0242,4272.405
25,1790.0,0.0053028832371801865,0.16831136174185413,24.94220857,0.18186187760000003,1.3040695074859519,364.8802164,61.84599181,3.937247249212529,2.216436996,16.05674391,7.680254371,0.010071225,0.0,0.0,0.0,0.000131556,0.0,0.0,0.0,0.0,2.28e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.99139,4270.6805
26,1791.0,0.0059201827711474675,0.17140780603037944,24.77843217,0.1852976601,1.2840490526151935,356.6583862,60.2187392,3.848160411348317,2.172583556,15.61644988,7.556943543,0.010071225,0.0,0.0,0.0,0.000135678,0.0,0.0,0.0,0.0,2.32e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.02128,4272.2515
27,1792.0,0.006098811288895706,0.1745612159784367,24.81889294,0.18879835220000002,1.2792195789314922,354.2515376,59.70568574,3.852211642026106,2.161650793,15.44666919,7.499155045,0.010071225,0.0,0.0,0.0,0.000139789,0.0,0.0,0.0,0.0,2.36e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.04466,4273.4807
28,1793.0,0.006105082154437627,0.17777263957518746,25.03153141,0.1923651804,1.2759606736324258,353.3723093,59.5849395,3.7981771330157703,2.153273834,15.47797954,7.518120739,0.010071225,0.0,0.0,0.0,0.000143796,0.0,0.0,0.0,0.0,2.39e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.02605,4272.5025
29,1794.0,0.0060924193600431715,0.18104314413058395,25.76753778,0.1959993941,1.322650155468501,365.721914,62.03822453,3.902028068747411,2.213843116,16.16525997,7.731535991,0.010071225,0.0,0.0,0.0,0.000147737,0.0,0.0,0.0,0.0,2.43e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.98417,4270.301
30,1795.0,0.006095932504721654,0.18437381654826174,25.77334281,0.1997022662,1.3063855188024067,362.1921227,61.24273214,3.9191504606781584,2.202692273,15.88313195,7.626169221,0.010071225,0.0,0.0,0.0,0.000151861,0.0,0.0,0.0,0.0,2.46e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.01093,4271.7076
