train/explained_variance,time/total_timesteps,time/fps,train/entropy_loss,train/learning_rate,time/time_elapsed,train/std,train/value_loss,time/iterations,rollout/ep_rew_mean,train/n_updates,train/policy_loss,rollout/ep_len_mean
-3.5762786865234375e-07,125,6,-1.4178977012634277,0.00021,18,0.9993945956230164,40876.125,25,-13150.348729,24,-207.69192504882812,78.0
-8.344650268554688e-07,250,6,-1.419403314590454,0.00021,36,1.0002692937850952,6941.79833984375,50,-22363.449083666666,49,-127.49494934082031,78.0
-1.1920928955078125e-07,375,6,-1.4196586608886719,0.00021,54,1.0006040334701538,329895.1875,75,-19900.30811825,74,-833.7838134765625,78.0
0.0,500,6,-1.41951322555542,0.00021,73,1.000944972038269,211380.296875,100,-17565.836024166663,99,-426.12762451171875,78.0
0.0,625,6,-1.420889139175415,0.00021,91,1.002254605293274,474189.40625,125,-16461.606302125,124,-675.0394287109375,78.0
-1.1920928955078125e-07,750,6,-1.4192965030670166,0.00021,109,1.000166416168213,301987.3125,150,-16169.683327666668,149,-870.8160400390625,78.0
1.1920928955078125e-07,875,6,-1.4185940027236938,0.00021,128,0.9999209046363831,66688.90625,175,-15652.469499727273,174,-247.44424438476562,78.0
0.0,1000,6,-1.4193387031555176,0.00021,146,0.9996367692947388,315856.1875,200,-15437.247892333333,199,-1464.4110107421875,78.0
