,Year,Temperature Anomaly (°C),CO2 Emitted (GtC/yr),Sulfur Emitted (MtS/yr),CO2 Concentration (ppm),ERF (W/m2),Reward
0,2023.0,1.6639809608459473,41.21323776245117,79.85157775878906,423.79608154296875,3.031367301940918,-234.58128077891482
1,2024.0,1.5207856893539429,41.496089935302734,79.73681640625,426.7515563964844,3.0907931327819824,-3408.659793766156
2,2025.0,1.4681484699249268,41.7789421081543,79.62205505371094,429.5910339355469,3.135977268218994,-4081.848779638684
3,2026.0,1.617948293685913,42.061798095703125,79.50728607177734,432.4092712402344,3.160243034362793,-4079.3413961117567
4,2027.0,1.749382495880127,42.34465026855469,79.39252471923828,435.3764953613281,3.1763594150543213,-4122.79769767973
5,2028.0,1.6215542554855347,42.62750244140625,79.27776336669922,438.4532470703125,3.201131582260132,-4110.617795735152
6,2029.0,1.7919073104858398,42.91035461425781,79.16300201416016,441.4239196777344,3.2382850646972656,-4163.127279092856
7,2030.0,1.8060616254806519,43.19321060180664,79.04823303222656,444.5487060546875,3.2660441398620605,-4181.979737431998
8,2031.0,1.9859760999679565,43.4760627746582,78.9334716796875,447.6839294433594,3.3033034801483154,-4230.454410690288
9,2032.0,1.8001670837402344,43.55374526977539,77.69023895263672,450.93756103515625,3.347792148590088,-4199.557382538943
10,2033.0,1.726339340209961,43.631431579589844,76.44701385498047,454.0103759765625,3.418858528137207,-4192.501133438686
11,2034.0,1.9028918743133545,43.70911407470703,75.20378112792969,457.0180969238281,3.502741813659668,-4240.088508271048
12,2035.0,2.114936351776123,43.78679656982422,73.9605484008789,460.1778564453125,3.5695641040802,-4295.782661666122
13,2036.0,2.090906858444214,43.86448287963867,72.71731567382812,463.48956298828125,3.6252169609069824,-4299.949148863321
14,2037.0,2.013756275177002,43.94216537475586,71.47409057617188,466.75299072265625,3.6777591705322266,-4292.305818279546
15,2038.0,2.0569839477539062,44.01984786987305,70.2308578491211,469.9356689453125,3.722177505493164,-4310.973275838728
16,2039.0,1.934770941734314,44.0975341796875,68.98762512207031,473.1471252441406,3.7582333087921143,-4293.14591391141
17,2040.0,1.9293330907821655,44.17521667480469,67.74439239501953,476.25067138671875,3.7878270149230957,-4300.791684751063
18,2041.0,2.1456503868103027,44.252899169921875,66.50116729736328,479.3583068847656,3.8149209022521973,-4353.884140599648
