,Year,Temperature Anomaly (°C),CO2 Emitted (GtC/yr),Sulfur Emitted (MtS/yr),CO2 Concentration (ppm),ERF (W/m2),Reward
0,2023.0,1.6639809608459473,41.21323776245117,79.85157775878906,423.79608154296875,3.031367301940918,-234.58128077891482
1,2024.0,1.448782205581665,11.175435066223145,139.73681640625,423.0491027832031,2.5979979038238525,-3408.659793766156
2,2025.0,1.344569444656372,3.1081950664520264,139.62205505371094,421.4364013671875,2.5858962535858154,-4081.848779638684
3,2026.0,1.4583073854446411,3.0703935623168945,139.50729370117188,420.05950927734375,2.5558767318725586,-4079.3413961117567
4,2027.0,1.5593596696853638,3.0325920581817627,139.3925323486328,418.9640197753906,2.5192453861236572,-4122.79769767973
5,2028.0,1.403266429901123,2.99479079246521,139.2777557373047,418.0619201660156,2.4925262928009033,-4110.617795735152
6,2029.0,1.5463504791259766,2.956989288330078,139.16299438476562,417.2002868652344,2.480306386947632,-4163.127279092856
7,2030.0,1.5336060523986816,2.9191877841949463,139.04823303222656,416.4813232421875,2.458873987197876,-4181.979737431998
8,2031.0,1.686842918395996,2.8813862800598145,138.9334716796875,415.8189392089844,2.4478416442871094,-4230.454410690288
9,2032.0,1.474213719367981,2.809678792953491,137.69024658203125,415.2508239746094,2.4426114559173584,-4199.557382538943
10,2033.0,1.3737338781356812,2.737971305847168,136.44700622558594,414.64715576171875,2.466010093688965,-4192.501133438686
11,2034.0,1.523866891860962,2.6662638187408447,135.2037811279297,414.04449462890625,2.5032694339752197,-4240.088508271048
12,2035.0,1.7094972133636475,2.5945565700531006,133.96055603027344,413.5171203613281,2.522810697555542,-4295.782661666122
13,2036.0,1.6589308977127075,2.5228490829467773,132.71731567382812,413.0614929199219,2.530522108078003,-4299.949148863321
14,2037.0,1.555284023284912,2.451141595840454,131.47409057617188,412.6064453125,2.535972833633423,-4292.305818279546
15,2038.0,1.572180986404419,2.379434108734131,130.23085021972656,412.1380310058594,2.5343289375305176,-4310.973275838728
16,2039.0,1.4237340688705444,2.3077266216278076,128.9876251220703,411.6883239746094,2.5244388580322266,-4293.14591391141
17,2040.0,1.3922691345214844,2.2360191345214844,127.74439239501953,411.2136535644531,2.5092475414276123,-4300.791684751063
18,2041.0,1.5827045440673828,2.1643118858337402,126.50116729736328,410.74566650390625,2.491780996322632,-4353.884140599648
19,2042.0,1.7305762767791748,1.9979723691940308,125.18093872070312,410.3251647949219,2.4754014015197754,-4398.605899941392
20,2043.0,1.6929832696914673,1.8316328525543213,123.8607177734375,409.9347839355469,2.4717190265655518,-4401.840411275108
21,2044.0,1.5970792770385742,1.6652934551239014,122.54049682617188,409.5318908691406,2.4835433959960938,-4391.979957597166
22,2045.0,1.6545509099960327,1.498953938484192,121.22027587890625,409.1053161621094,2.513930320739746,-4416.070564645565
23,2046.0,1.6503145694732666,1.3326144218444824,119.9000473022461,408.6883239746094,2.544405698776245,-4426.495203343833
24,2047.0,1.6677919626235962,1.1662750244140625,118.57982635498047,408.2672424316406,2.5725414752960205,-4441.745597518995
25,2048.0,1.6816203594207764,0.999935507774353,117.25960540771484,407.8461608886719,2.5886428356170654,-4456.200362004203
26,2049.0,1.6827492713928223,0.8335960507392883,115.93938446044922,407.4238586425781,2.5797369480133057,-4467.817323120595
27,2050.0,1.700325846672058,0.6672565937042236,114.6191635131836,406.9976806640625,2.552473545074463,-4483.114212365573
28,2051.0,1.7171707153320312,0.5009171366691589,113.29893493652344,406.57025146484375,2.526989459991455,-4494.805576262101
29,2052.0,1.7585217952728271,0.296833872795105,112.56922149658203,406.13629150390625,2.5064163208007812,-4512.299733110441
30,2053.0,1.52191162109375,0.09275063872337341,111.8395004272461,405.6994934082031,2.4875071048736572,-4466.840516908445
31,2054.0,1.4991121292114258,-0.11133259534835815,111.10978698730469,405.2164306640625,2.48871111869812,-4469.078154745347
32,2055.0,1.496487021446228,-0.3154158294200897,110.38006591796875,404.7229309082031,2.4977943897247314,-4475.785234448044
33,2056.0,1.541725516319275,-0.5194990634918213,109.65034484863281,404.2222595214844,2.516634225845337,-4493.3311779416135
34,2057.0,1.4358848333358765,-0.7235823273658752,108.9206314086914,403.7209777832031,2.523315906524658,-4476.5467625271485
35,2058.0,1.651321291923523,-0.9276655316352844,108.19091033935547,403.1973876953125,2.52459454536438,-4532.776487628533
36,2059.0,1.6874698400497437,-1.1317487955093384,107.46118927001953,402.69476318359375,2.5147578716278076,-4548.621482070131
37,2060.0,1.610324501991272,-1.3358319997787476,106.73147583007812,402.1875305175781,2.4983644485473633,-4538.565290094517
38,2061.0,1.5243066549301147,-1.5399152040481567,106.00175476074219,401.66241455078125,2.47527813911438,-4526.627046748471
39,2062.0,1.5150840282440186,-1.6070425510406494,105.59303283691406,401.1357421875,2.4550085067749023,-4531.144045621651
40,2063.0,1.4979139566421509,-1.674169898033142,105.1843032836914,400.6152038574219,2.4385483264923096,-4534.578174829778
41,2064.0,1.600402593612671,-1.7412972450256348,104.77558135986328,400.0989990234375,2.4290809631347656,-4565.61452456922
42,2065.0,1.4624015092849731,-1.808424472808838,104.36685943603516,399.5981140136719,2.421064853668213,-4541.156709724167
43,2066.0,1.5349206924438477,-1.8755518198013306,103.9581298828125,399.0886535644531,2.437535047531128,-4565.128854040153
44,2067.0,1.586959958076477,-1.9426791667938232,103.54940795898438,398.5898132324219,2.455777645111084,-4584.555580365612
45,2068.0,1.7639689445495605,-2.0098063945770264,103.14067840576172,398.098876953125,2.467597723007202,-4633.383092672233
46,2069.0,1.6575781106948853,-2.0769338607788086,102.7319564819336,397.6246337890625,2.4589908123016357,-4616.378494990848
47,2070.0,1.5885521173477173,-2.1440610885620117,102.32323455810547,397.1451110839844,2.4461960792541504,-4607.725612012425
48,2071.0,1.5920171737670898,-2.211188316345215,101.91450500488281,396.66278076171875,2.4238340854644775,-4615.8372915528635
49,2072.0,1.586491346359253,-2.329803943634033,101.5736312866211,396.1761169433594,2.4016804695129395,-4622.135215147367
50,2073.0,1.5096111297607422,-2.4484198093414307,101.2327651977539,395.6847839355469,2.3869686126708984,-4611.149134342658
51,2074.0,1.5576978921890259,-2.567035436630249,100.89189147949219,395.1845397949219,2.37444806098938,-4629.472138087377
52,2075.0,1.4503905773162842,-2.6856510639190674,100.55101776123047,394.68304443359375,2.35874605178833,-4610.926221449496
53,2076.0,1.5246511697769165,-2.8042666912078857,100.21015167236328,394.1717224121094,2.352367401123047,-4635.233186800423
54,2077.0,1.668047308921814,-2.922882318496704,99.86927795410156,393.66021728515625,2.344600200653076,-4676.406965948297
