,year,erf
201,1766.75,0.224124498
202,1766.833333,0.226062043
203,1766.916667,0.227831257
204,1767.0,0.229446747
205,1767.083333,-0.037621353
206,1767.166667,-0.220487617
207,1767.25,-0.34033127
208,1767.333333,-0.413337122
209,1767.416667,-0.451846325
210,1767.5,-0.465246317
211,1767.583333,-0.460656803
212,1767.666667,-0.443458301
213,1767.75,-0.417699394
214,1767.833333,-0.386409099
215,1767.916667,-0.351835867
216,1768.0,-0.315631131
217,1768.083333,-0.278991521
218,1768.166667,-0.242769009
219,1768.25,-0.207555338
220,1768.333333,-0.17374737
221,1768.416667,-0.141596865
222,1768.5,-0.111249138
223,1768.583333,-0.082771695
224,1768.666667,-0.056175728
225,1768.75,-0.031432597
226,1768.833333,-0.008486
227,1768.916667,0.012739134
228,1769.0,0.032329835
229,1769.083333,0.050380118
230,1769.166667,0.066986916
231,1769.25,0.082247414
232,1769.333333,0.096256809
233,1769.416667,0.10910713
234,1769.5,0.120886069
235,1769.583333,0.131676582
236,1769.666667,0.141556648
237,1769.75,0.15059918
238,1769.833333,0.158872069
239,1769.916667,0.166438395
240,1770.0,0.173356632
241,1770.083333,0.17968092
242,1770.166667,0.185461234
243,1770.25,0.190743587
244,1770.333333,0.195570316
245,1770.416667,0.199980267
246,1770.5,0.204009077
247,1770.583333,0.207689413
248,1770.666667,0.211051209
249,1770.75,0.214121874
250,1770.833333,0.216926453
251,1770.916667,0.219487854
252,1771.0,0.221827065
253,1771.083333,0.223963308
254,1771.166667,0.225914162
255,1771.25,0.2276957
256,1771.333333,0.229322586
257,1771.416667,0.230808215
258,1771.5,0.232164823
259,1771.583333,0.233403617
260,1771.666667,0.234534827
261,1771.75,0.235567797
262,1771.833333,0.236511049
263,1771.916667,0.237372347
264,1772.0,0.238158799
265,1772.083333,0.238876907
266,1772.166667,0.239532631
267,1772.25,0.240131403
268,1772.333333,0.240678166
269,1772.416667,0.241177415
270,1772.5,0.241633263
271,1772.583333,0.24204949
272,1772.666667,0.242429551
273,1772.75,0.242776614
274,1772.833333,0.243093526
275,1772.916667,0.243382888
276,1773.0,0.243647086
277,1773.083333,0.243888314
278,1773.166667,0.244108593
279,1773.25,0.244309751
280,1773.333333,0.244493441
281,1773.416667,0.244661167
282,1773.5,0.244814293
283,1773.583333,0.244954104
284,1773.666667,0.245081768
285,1773.75,0.245198357
286,1773.833333,0.24530482
287,1773.916667,0.245402028
288,1774.0,0.245490765
289,1774.083333,0.245571783
290,1774.166667,0.245645768
291,1774.25,0.245713346
292,1774.333333,0.245775069
293,1774.416667,0.245831417
