,Year,Temperature Anomaly (°C),CO2 Emitted (GtC/yr),Sulfur Emitted (MtS/yr),CO2 Concentration (ppm),ERF (W/m2),Reward
0,2023.0,1.6639809608459473,41.21323776245117,79.85157775878906,423.79608154296875,3.031367301940918,173.3536471956867
1,2024.0,1.5207856893539429,41.496089935302734,79.73681640625,426.7515563964844,3.0907931327819824,196.58938792216068
2,2025.0,1.4681484699249268,41.7789421081543,79.62205505371094,429.5910339355469,3.135977268218994,208.2125886641232
3,2026.0,1.617948293685913,42.061798095703125,79.50728607177734,432.4092712402344,3.160243034362793,175.29515380175758
4,2027.0,1.749382495880127,42.34465026855469,79.39252471923828,435.3764953613281,3.1763594150543213,146.23291263977006
5,2028.0,1.6215542554855347,42.62750244140625,79.27776336669922,438.4532470703125,3.201131582260132,174.58258119089032
6,2029.0,1.7919073104858398,42.91035461425781,79.16300201416016,441.4239196777344,3.2382850646972656,137.1464438967085
7,2030.0,1.8060616254806519,43.19321060180664,79.04823303222656,444.5487060546875,3.2660441398620605,134.20461181989342
8,2031.0,1.9859760999679565,43.4760627746582,78.9334716796875,447.6839294433594,3.3033034801483154,94.60845454680289
9,2032.0,1.8001670837402344,43.55374526977539,77.69023895263672,450.93756103515625,3.347792148590088,135.92267738784346
10,2033.0,1.726339340209961,43.631431579589844,76.44701385498047,454.0103759765625,3.418858528137207,153.02850293880888
11,2034.0,1.9028918743133545,43.70911407470703,75.20378112792969,457.0180969238281,3.502741813659668,114.63820167330155
12,2035.0,2.114936351776123,43.78679656982422,73.9605484008789,460.1778564453125,3.5695641040802,8.761993552895678
13,2036.0,2.090906858444214,43.86448287963867,72.71731567382812,463.48956298828125,3.6252169609069824,88.98946005226631
14,2037.0,2.013756275177002,43.94216537475586,71.47409057617188,466.75299072265625,3.6777591705322266,115.99238403723211
15,2038.0,2.0569839477539062,44.01984786987305,70.2308578491211,469.9356689453125,3.722177505493164,112.39174925881316
16,2039.0,1.934770941734314,44.0975341796875,68.98762512207031,473.1471252441406,3.7582333087921143,144.25150665388347
17,2040.0,1.9293330907821655,44.17521667480469,67.74439239501953,476.25067138671875,3.7878270149230957,149.75873728581868
18,2041.0,2.1456503868103027,44.252899169921875,66.50116729736328,479.3583068847656,3.8149209022521973,105.60783541284901
19,2042.0,2.3195436000823975,44.173828125,65.18093872070312,482.6313171386719,3.8445539474487305,35.502600392529544
20,2043.0,2.308147668838501,44.094757080078125,63.8607177734375,486.0072326660156,3.887474536895752,66.3142086999203
21,2044.0,2.238447666168213,44.01568603515625,62.540496826171875,489.33331298828125,3.9452764987945557,94.89487646510877
22,2045.0,2.321998357772827,43.936614990234375,61.220272064208984,492.57135009765625,4.020750999450684,9.565988131521632
23,2046.0,2.3438100814819336,43.8575439453125,59.90005111694336,495.8527526855469,4.0965118408203125,-103.42357423756488
24,2047.0,2.3873021602630615,43.778472900390625,58.57982635498047,499.1247863769531,4.169708251953125,-230.82150561061863
25,2048.0,2.4271256923675537,43.69940185546875,57.259605407714844,502.40618896484375,4.230810165405273,-363.5037439268017
26,2049.0,2.454237699508667,43.620330810546875,55.93938446044922,505.69378662109375,4.266829967498779,-482.9734439572057
27,2050.0,2.4977784156799316,43.541259765625,54.61915969848633,508.97796630859375,4.284350395202637,-618.9980653542821
28,2051.0,2.5405821800231934,43.462188720703125,53.2989387512207,512.2723388671875,4.303631782531738,-750.5194938885223
29,2052.0,2.6076998710632324,43.1356201171875,52.569217681884766,515.5448608398438,4.326457500457764,-907.0814171093963
30,2053.0,2.39672589302063,42.80904769897461,51.839500427246094,518.8146362304688,4.35078239440918,-860.9508399931651
31,2054.0,2.3992228507995605,42.482479095458984,51.10978317260742,521.8677978515625,4.393314838409424,-965.5572010482729
32,2055.0,2.421649932861328,42.155906677246094,50.38006591796875,524.889404296875,4.443397045135498,-1074.5471994917436
33,2056.0,2.4917795658111572,41.82933807373047,49.65034866333008,527.895751953125,4.50304651260376,-1194.1923207879358
34,2057.0,2.4107484817504883,41.50276565551758,48.92062759399414,530.922607421875,4.55064582824707,-1279.8586331478657
35,2058.0,2.6508066654205322,41.17619705200195,48.19091033935547,533.8480834960938,4.591939449310303,-1470.031870076306
36,2059.0,2.7116310596466064,40.84962463378906,47.4611930847168,536.9241333007812,4.623331546783447,-1617.8179197705867
37,2060.0,2.65917706489563,40.52305603027344,46.731475830078125,539.9970703125,4.648070335388184,-1649.1065952103947
38,2061.0,2.5977303981781006,40.19648361206055,46.00175476074219,542.984130859375,4.665340423583984,-1737.4410024289343
39,2062.0,2.6127383708953857,39.70037841796875,45.59303283691406,545.86279296875,4.6836256980896,-1740.3877767241297
40,2063.0,2.6195006370544434,39.20427322387695,45.18430709838867,548.6961669921875,4.705060958862305,-1745.1009104732555
41,2064.0,2.745652198791504,38.708168029785156,44.77558135986328,551.4789428710938,4.73280668258667,-1776.9429992840994
42,2065.0,2.6311588287353516,38.21206283569336,44.36685562133789,554.2976684570312,4.762072563171387,-1754.624769774251
43,2066.0,2.7268736362457275,37.71595764160156,43.9581298828125,556.9739990234375,4.814382076263428,-1779.59863229969
44,2067.0,2.8018970489501953,37.219852447509766,43.549407958984375,559.6670532226562,4.868412494659424,-1800.0882690347282
45,2068.0,3.0017213821411133,36.72374725341797,43.140682220458984,562.3557739257812,4.915785789489746,-1974.317952366303
46,2069.0,2.918088436126709,36.22764205932617,42.731956481933594,565.1176147460938,4.943158149719238,-1874.0126438072707
47,2070.0,2.8715872764587402,35.73154067993164,42.3232307434082,567.7584838867188,4.965109825134277,-1827.2679670344787
48,2071.0,2.897277593612671,35.235435485839844,41.91450500488281,570.3084106445312,4.976551532745361,-1836.829763133875
