,Year,Temperature Anomaly (°C),CO2 Emitted (GtC/yr),Sulfur Emitted (MtS/yr),CO2 Concentration (ppm),ERF (W/m2),Reward
0,2023.0,1.6639809608459473,41.21323776245117,79.85157775878906,423.79608154296875,3.031367301940918,173.3536471956867
1,2024.0,1.5204704999923706,40.17543411254883,79.73681640625,426.59027099609375,3.0886354446411133,196.58938792216068
2,2025.0,1.467047095298767,39.13763427734375,79.62205505371094,429.120849609375,3.1297338008880615,208.2125886641232
3,2026.0,1.6155318021774292,38.099830627441406,79.50728607177734,431.49169921875,3.1481432914733887,175.29515380175758
4,2027.0,1.7450870275497437,37.06203079223633,79.39252471923828,433.8740539550781,3.1566812992095947,146.23291263977006
5,2028.0,1.6147925853729248,36.02423095703125,79.27776336669922,436.23101806640625,3.1722187995910645,174.58258119089032
6,2029.0,1.7820967435836792,34.986427307128906,79.16300201416016,438.36163330078125,3.198687791824341,137.1464438967085
7,2030.0,1.7925872802734375,33.94862747192383,79.04823303222656,440.5101013183594,3.2141435146331787,134.20461181989342
8,2031.0,1.9682185649871826,32.910823822021484,78.9334716796875,442.5448303222656,3.2376532554626465,94.60845454680289
9,2032.0,1.7775155305862427,31.8391170501709,77.69023895263672,444.5804138183594,3.267068386077881,135.92267738784346
10,2033.0,1.6982452869415283,30.767410278320312,76.44701385498047,446.3544616699219,3.3221778869628906,153.02850293880888
11,2034.0,1.8688157796859741,29.695701599121094,75.20378112792969,447.9698486328125,3.3890743255615234,114.63820167330155
12,2035.0,2.074281692504883,28.623994827270508,73.9605484008789,449.6091003417969,3.437497615814209,8.761993552895678
13,2036.0,1.976270318031311,27.552288055419922,132.71731567382812,451.268310546875,3.0163631439208984,88.98946005226631
14,2037.0,1.8512446880340576,26.480579376220703,131.47409057617188,452.7421569824219,3.0480599403381348,115.99238403723211
15,2038.0,1.8645000457763672,25.408872604370117,130.23085021972656,454.02728271484375,3.069544792175293,112.39174925881316
16,2039.0,1.7188293933868408,24.33716583251953,128.9876251220703,455.22625732421875,3.0807814598083496,144.25150665388347
17,2040.0,1.6924065351486206,23.265457153320312,127.74439239501953,456.2379455566406,3.084455966949463,149.75873728581868
18,2041.0,1.8887181282043457,22.193750381469727,126.50116729736328,457.1520690917969,3.084440231323242,105.60783541284901
19,2042.0,2.042905330657959,21.02741050720215,125.18093872070312,458.0909729003906,3.0851123332977295,35.502600392529544
20,2043.0,2.0118627548217773,19.86107063293457,123.8607177734375,459.0044860839844,3.0977060794830322,66.3142086999203
21,2044.0,1.9225211143493652,18.694732666015625,122.54049682617188,459.781982421875,3.1242568492889404,94.89487646510877
22,2045.0,1.9864115715026855,17.528392791748047,121.22027587890625,460.39862060546875,3.1676852703094482,9.565988131521632
23,2046.0,1.988450527191162,16.36205291748047,119.9000473022461,460.9444580078125,3.210184335708618,-103.42357423756488
24,2047.0,2.0120112895965576,15.19571304321289,118.57982635498047,461.384033203125,3.2490804195404053,-230.82150561061863
25,2048.0,2.0316972732543945,14.029374122619629,117.25960540771484,461.7294921875,3.274777889251709,-363.5037439268017
26,2049.0,2.038424015045166,12.86303424835205,115.93938446044922,461.9786376953125,3.274298906326294,-482.9734439572057
27,2050.0,2.0613017082214355,11.696695327758789,114.6191635131836,462.125732421875,3.254262924194336,-618.9980653542821
28,2051.0,2.083127021789551,10.530355453491211,113.29893493652344,462.1788024902344,3.234872817993164,-750.5194938885223
29,2052.0,2.129115581512451,9.326272010803223,112.56922149658203,462.1324157714844,3.2192678451538086,-907.0814171093963
30,2053.0,1.8967872858047485,8.122188568115234,111.8395004272461,461.9963073730469,3.204270601272583,-860.9508399931651
31,2054.0,1.8777879476547241,6.918105602264404,111.10978698730469,461.65960693359375,3.2075753211975098,-965.5572010482729
32,2055.0,1.8785009384155273,5.714022636413574,110.38006591796875,461.2198181152344,3.2176499366760254,-1074.5471994917436
33,2056.0,1.9266331195831299,4.509939193725586,109.65034484863281,460.6852111816406,3.236427068710327,-1194.1923207879358
34,2057.0,1.823256254196167,3.3058559894561768,108.9206314086914,460.0721435546875,3.2420976161956787,-1279.8586331478657
35,2058.0,2.0406744480133057,2.1017727851867676,108.19091033935547,459.326416015625,3.2410495281219482,-1470.031870076306
36,2059.0,2.078390121459961,0.8976895809173584,107.46118927001953,458.5553894042969,3.228285551071167,-1617.8179197705867
